"Trait1","Trait2","Term","Fitness","Analysis","Type","Coefficient","P_Value"
"jaw","noseangle","noseangle","Continuous","Overall","Linear",0.0112,0.823813299729011
"jaw","noseangle","jaw²","Continuous","Overall","Quadratic",0.0653,0.574970998681632
"jaw","noseangle","noseangle²","Continuous","Overall","Quadratic",-0.0161,0.821327787165384
"jaw","noseangle","jaw × noseangle","Continuous","Overall","Correlational",-0.0732,0.314076311182309
"jaw","noseangle","jaw","Binary","Group: ","Linear",0.0098,0.409686632304238
"jaw","noseangle","noseangle","Binary","Group: ","Linear",0.0069,0.570776310984118
"jaw","noseangle","jaw","Binary","Group: ","Linear",-0.0075,0.514205049720037
"jaw","noseangle","noseangle","Binary","Group: ","Linear",0.018,0.102257604452376
"jaw","noseangle","jaw","Continuous","Group: ","Linear",0.2132,0.00825309919998509
"jaw","noseangle","noseangle","Continuous","Group: ","Linear",-0.0224,0.718195501084513
"jaw","noseangle","jaw","Continuous","Group: ","Linear",0.002,0.983695124283049
"jaw","noseangle","noseangle","Continuous","Group: ","Linear",0.0214,0.780019629959255
"jaw","body","jaw","Binary","Overall","Linear",0.02,0.0458501512275072
"jaw","body","body","Binary","Overall","Linear",0.0381,0.000273942382966443
"jaw","body","jaw²","Binary","Overall","Quadratic",-0.0142,0.301509970826516
"jaw","body","body²","Binary","Overall","Quadratic",0.004,0.623595833095104
"jaw","body","jaw × body","Binary","Overall","Correlational",0.0116,0.590871700836401
"jaw","body","jaw","Continuous","Overall","Linear",0.1347,0.0591771023477764
"jaw","body","body","Continuous","Overall","Linear",0.1012,0.166973175410153
"jaw","body","jaw²","Continuous","Overall","Quadratic",0.2311,0.0908346575694017
"jaw","body","body²","Continuous","Overall","Quadratic",0.0994,0.513427616789044
"jaw","body","jaw × body","Continuous","Overall","Correlational",0.1783,0.117054928097218
"jaw","body","jaw","Binary","Group: ","Linear",0.0278,0.0777571140560335
"jaw","body","body","Binary","Group: ","Linear",0.0302,0.0680371621956252
"jaw","body","jaw","Binary","Group: ","Linear",0.0114,0.392044338405286
"jaw","body","body","Binary","Group: ","Linear",0.0468,0.000620327343584301
"jaw","body","jaw","Continuous","Group: ","Linear",0.2762,0.00340810301574682
"jaw","body","body","Continuous","Group: ","Linear",0.1212,0.18357813544947
"jaw","body","jaw","Continuous","Group: ","Linear",0.0345,0.737405288832018
"jaw","body","body","Continuous","Group: ","Linear",0.0997,0.369258627817899
"jaw","eye","jaw","Binary","Overall","Linear",-2e-04,0.978225649869611
"jaw","eye","eye","Binary","Overall","Linear",-0.0031,0.719842884336941
"jaw","eye","jaw²","Binary","Overall","Quadratic",-0.0238,0.0607294360410212
"jaw","eye","eye²","Binary","Overall","Quadratic",0.0056,0.791103829915994
"jaw","eye","jaw × eye","Binary","Overall","Correlational",0.0176,0.0345057258770279
"jaw","eye","jaw","Continuous","Overall","Linear",0.0594,0.350025691408451
"jaw","eye","eye","Continuous","Overall","Linear",-0.1518,0.00692662734293081
"jaw","eye","jaw²","Continuous","Overall","Quadratic",0.0501,0.659499414265318
"jaw","eye","eye²","Continuous","Overall","Quadratic",0.0482,0.542668695936679
"jaw","eye","jaw × eye","Continuous","Overall","Correlational",0.0846,0.20702327992135
"jaw","eye","jaw","Binary","Group: ","Linear",-3e-04,0.99272708106039
"jaw","eye","eye","Binary","Group: ","Linear",-0.017,0.232062200967633
"jaw","eye","jaw","Binary","Group: ","Linear",-0.0066,0.570860806503248
"jaw","eye","eye","Binary","Group: ","Linear",0.0093,0.407616173559586
"jaw","eye","jaw","Continuous","Group: ","Linear",0.197,0.024402562180013
"jaw","eye","eye","Continuous","Group: ","Linear",-0.0353,0.678926304489523
"jaw","eye","jaw","Continuous","Group: ","Linear",1e-04,0.999362640396406
